x,y
-1.3140455215432487,-0.13759949786756437
4.732539999381117,-1.9107798473363218
5.626755955075734,-3.248223796004706
4.373854521734519,-4.287065346073456
3.1943295990173723,-3.7794391184472027
2.506165990898852,-3.2137064643551265
1.3647846697278236,-3.6855369354463203
0.5739294318558552,-3.90603901565481
-0.3016609716579759,-3.3664667029003685
-0.8100951617371632,-2.684053912754514
-2.5380300501977975,-2.2071726000093723
-3.3975717452264402,-1.0335113394553601
-2.7095990104247476,-0.07075437093190035
-2.017647963215581,0.00841172417910624
