x,y,speed,yaw
0.61,-1.04,1.80,-0.0037
1.13,-1.04,1.80,-0.0011
1.64,-1.04,1.80,-0.0007
2.15,-1.04,1.80,-0.0025
2.66,-1.04,1.80,-0.0067
3.16,-1.04,1.80,-0.0131
3.67,-1.05,1.80,-0.0218
4.18,-1.06,1.80,-0.0328
4.68,-1.08,1.80,-0.0459
5.19,-1.10,1.80,-0.0613
5.70,-1.13,1.80,-0.0787
6.21,-1.17,1.80,-0.0981
6.72,-1.22,1.80,-0.1194
7.24,-1.28,1.80,-0.1424
7.76,-1.36,1.80,-0.1746
8.27,-1.45,1.80,-0.2546
8.76,-1.58,1.80,-0.4096
9.20,-1.77,1.80,-0.6679
9.54,-2.04,1.80,-1.0336
9.77,-2.42,1.80,-1.4208
9.85,-2.94,1.80,-1.7482
9.75,-3.52,1.80,-2.3054
9.43,-3.87,1.80,-2.9057
8.96,-3.98,1.80,-2.9621
8.46,-4.07,1.80,-2.9948
7.95,-4.15,1.80,-3.1482
7.41,-4.15,1.80,-3.1932
6.88,-4.12,1.80,-3.0700
6.39,-4.15,1.80,-2.7260
5.97,-4.34,1.80,-2.3975
5.62,-4.66,1.80,-2.4106
5.25,-5.00,1.80,-2.6987
4.78,-5.22,1.80,-3.0021
4.24,-5.29,1.80,-3.2735
3.70,-5.22,1.80,-3.5732
3.22,-5.00,1.80,-3.9570
2.88,-4.63,1.80,-4.2769
2.66,-4.17,1.80,-4.2089
2.43,-3.74,1.80,-3.7376
2.05,-3.48,1.80,-3.3671
1.54,-3.37,1.80,-3.2177
0.98,-3.33,1.80,-3.2115
0.41,-3.29,1.80,-3.3497
-0.08,-3.18,1.80,-3.7215
-0.45,-2.94,1.80,-4.2989
-0.63,-2.54,1.80,-4.7881
-0.59,-2.04,1.80,-5.2189
-0.31,-1.53,1.80,-5.2189
